 População Residente - Estimativas para o TCU - Santa Catarina
População estimada por Município
Período:2016
"Município";"População_estimada"
"420675 Ibiam";1968
"420680 Ibicaré";3290
"420690 Ibirama";18567
"420700 Içara";53998
"420710 Ilhota";13676
"420720 Imaruí";10752
"420730 Imbituba";43624
"420740 Imbuia";6087
"420750 Indaial";65000
"420757 Iomerê";2899
"420760 Ipira";4599
"420765 Iporã do Oeste";8876
"420768 Ipuaçu";7331
"420770 Ipumirim";7530
"420775 Iraceminha";4103
"420780 Irani";10202
"420785 Irati";2004
"420790 Irineópolis";11061
"420800 Itá";6311
"420810 Itaiópolis";21385
"420820 Itajaí";208958
"420830 Itapema";59147
"420840 Itapiranga";16541
"420845 Itapoá";18749
"420850 Ituporanga";24343
"420860 Jaborá";4006
"420870 Jacinto Machado";10573
"420880 Jaguaruna";19254
"420890 Jaraguá do Sul";167300
"420895 Jardinópolis";1649
"420900 Joaçaba";29310
"420910 Joinville";569645
"420915 José Boiteux";4874
"420917 Jupiá";2134
"420920 Lacerdópolis";2249
"420930 Lages";158620
"420940 Laguna";44982
"420945 Lajeado Grande";1461
"420950 Laurentino";6694
"420960 Lauro Muller";15073
"420970 Lebon Régis";12119
"420980 Leoberto Leal";3179
"420985 Lindóia do Sul";4630
"420990 Lontras";11584
"421000 Luiz Alves";12162
"421003 Luzerna";5703
"421005 Macieira";1807
"421010 Mafra";55611
"421020 Major Gercino";3416
"421030 Major Vieira";7957
"421040 Maracajá";7051
"421050 Maravilha";24712
"421055 Marema";1952
"421060 Massaranduba";16240
"421070 Matos Costa";2652
"421080 Meleiro";7056
"421085 Mirim Doce";2399
"421090 Modelo";4181
"421100 Mondaí";11343
"421105 Monte Carlo";9740
"421110 Monte Castelo";8473
"421120 Morro da Fumaça";17373
"421125 Morro Grande";2918
"421130 Navegantes";74964
"421140 Nova Erechim";4804
"421145 Nova Itaberaba";4339
"421150 Nova Trento";13861
"421160 Nova Veneza";14654
"421165 Novo Horizonte";2569
"421170 Orleans";22587
"421175 Otacílio Costa";18075
"421180 Ouro";7381
"421185 Ouro Verde";2254
"421187 Paial";1607
"421189 Painel";2378
"421190 Palhoça";161395
"421200 Palma Sola";7604
"421205 Palmeira";2562
"421210 Palmitos";16257
"421220 Papanduva";18905
"421223 Paraíso";3688
"421225 Passo de Torres";8142
"421227 Passos Maia";4279
"421230 Paulo Lopes";7282
"421240 Pedras Grandes";4047
"421250 Penha";30262
"421260 Peritiba";2880
"421265 Pescaria Brava";9908
"421270 Petrolândia";6051
"421290 Pinhalzinho";19105
"421300 Pinheiro Preto";3438
"421310 Piratuba";4209
"421315 Planalto Alegre";2823
"421320 Pomerode";31760
"421330 Ponte Alta";4796
"421335 Ponte Alta do Norte";3405
"421340 Ponte Serrada";11499
"421350 Porto Belo";19744
"421360 Porto União";35045
"421370 Pouso Redondo";16692
"421380 Praia Grande";7367
"421390 Presidente Castello Branco";1630
"421400 Presidente Getúlio";16736
"421410 Presidente Nereu";2306
"421415 Princesa";2891
"421420 Quilombo";10096
"421430 Rancho Queimado";2860
"421440 Rio das Antas";6246
"421450 Rio do Campo";6078
"421460 Rio do Oeste";7428
"421480 Rio do Sul";68217
"421470 Rio dos Cedros";11295
"421490 Rio Fortuna";4594
"421500 Rio Negrinho";41817
"421505 Rio Rufino";2487
"421507 Riqueza";4705
"421510 Rodeio";11434
"421520 Romelândia";5120
"421530 Salete";7614
"421535 Saltinho";3872
"421540 Salto Veloso";4616
"421545 Sangão";12001
"421550 Santa Cecília";16606
"421555 Santa Helena";2288
"421560 Santa Rosa de Lima";2133
"421565 Santa Rosa do Sul";8333
"421567 Santa Terezinha";8855
