 Abastecimento de água - Santa Catarina
Moradores por Município
Período:2010
"Município";"Moradores"
"420730 Imbituba";39736
"420740 Imbuia";5683
"420750 Indaial";54677
"420757 Iomerê";2727
"420760 Ipira";4733
"420765 Iporã do Oeste";8373
"420768 Ipuaçu";6795
"420770 Ipumirim";7155
"420775 Iraceminha";4244
"420780 Irani";9497
"420785 Irati";2096
"420790 Irineópolis";10337
"420800 Itá";6400
"420810 Itaiópolis";20247
"420820 Itajaí";182491
"420830 Itapema";45592
"420840 Itapiranga";15309
"420845 Itapoá";14651
"420850 Ituporanga";22119
"420860 Jaborá";4037
"420870 Jacinto Machado";10599
"420880 Jaguaruna";17262
"420890 Jaraguá do Sul";142251
"420895 Jardinópolis";1760
"420900 Joaçaba";26851
"420910 Joinville";512186
"420915 José Boiteux";4711
"420917 Jupiá";2146
"420920 Lacerdópolis";2196
"420930 Lages";156059
"420940 Laguna";51436
"420945 Lajeado Grande";1488
"420950 Laurentino";5955
"420960 Lauro Muller";14341
"420970 Lebon Régis";11816
"420980 Leoberto Leal";3334
"420985 Lindóia do Sul";4624
"420990 Lontras";10224
"421000 Luiz Alves";10362
"421003 Luzerna";5577
"421005 Macieira";1803
"421010 Mafra";52596
"421020 Major Gercino";3276
"421030 Major Vieira";7444
"421040 Maracajá";6352
"421050 Maravilha";21931
"421055 Marema";2203
"421060 Massaranduba";14644
"421070 Matos Costa";2833
"421080 Meleiro";6979
"421085 Mirim Doce";2504
"421090 Modelo";4007
"421100 Mondaí";9947
"421105 Monte Carlo";9284
"421110 Monte Castelo";8319
"421120 Morro da Fumaça";16087
"421125 Morro Grande";2888
"421130 Navegantes";60373
"421140 Nova Erechim";4265
"421145 Nova Itaberaba";4259
"421150 Nova Trento";12145
"421160 Nova Veneza";13218
"421165 Novo Horizonte";2738
"421170 Orleans";21374
"421175 Otacílio Costa";16318
"421180 Ouro";7332
"421185 Ouro Verde";2266
"421187 Paial";1757
"421189 Painel";2353
"421190 Palhoça";136712
"421200 Palma Sola";7711
"421205 Palmeira";2373
"421210 Palmitos";15960
"421220 Papanduva";17874
"421223 Paraíso";4023
"421225 Passo de Torres";6584
"421227 Passos Maia";4404
"421230 Paulo Lopes";6670
"421240 Pedras Grandes";4094
"421250 Penha";24992
"421260 Peritiba";2985
"421265 Pescaria Brava";-
"421270 Petrolândia";6128
"421290 Pinhalzinho";16248
"421300 Pinheiro Preto";3121
"421310 Piratuba";4768
"421315 Planalto Alegre";2647
"421320 Pomerode";27565
"421330 Ponte Alta";4885
"421335 Ponte Alta do Norte";3297
"421340 Ponte Serrada";10929
"421350 Porto Belo";16033
"421360 Porto União";33301
"421370 Pouso Redondo";14736
"421380 Praia Grande";7228
"421390 Presidente Castello Branco";1715
"421400 Presidente Getúlio";14788
"421410 Presidente Nereu";2258
"421415 Princesa";2731
"421420 Quilombo";10171
"421430 Rancho Queimado";2722
"421440 Rio das Antas";6128
"421450 Rio do Campo";6179
"421460 Rio do Oeste";6972
"421480 Rio do Sul";60692
"421470 Rio dos Cedros";10243
"421490 Rio Fortuna";4436
"421500 Rio Negrinho";39769
"421505 Rio Rufino";2411
"421507 Riqueza";4828
"421510 Rodeio";10865
"421520 Romelândia";5522
"421530 Salete";7338
"421535 Saltinho";3928
"421540 Salto Veloso";4284
"421545 Sangão";10352
"421550 Santa Cecília";15725
"421555 Santa Helena";2381
"421560 Santa Rosa de Lima";2059
"421565 Santa Rosa do Sul";8014
"421567 Santa Terezinha";8742
"421568 Santa Terezinha do Progresso";2892
"421569 Santiago do Sul";1465
"421570 Santo Amaro da Imperatriz";19708
"421580 São Bento do Sul";74532
"421575 São Bernardino";2670
"421590 São Bonifácio";2994
"421600 São Carlos";10187
"421605 São Cristovão do Sul";4312
"421610 São Domingos";9376
"421620 São Francisco do Sul";42273
"421630 São João Batista";26034
"421635 São João do Itaperiú";3415
"421625 São João do Oeste";6023
"421640 São João do Sul";6987
"421650 São Joaquim";24757
"421660 São José";208739
"421670 São José do Cedro";13616
"421680 São José do Cerrito";9198
"421690 São Lourenço do Oeste";21665
"421700 São Ludgero";10925
"421710 São Martinho";3207
"421715 São Miguel da Boa Vista";1886
"421720 São Miguel do Oeste";36129
"421725 São Pedro de Alcântara";3381
"421730 Saudades";8992
"421740 Schroeder";15258
"421750 Seara";16880
"421755 Serra Alta";3254
"421760 Siderópolis";12980
"421770 Sombrio";26512
"421775 Sul Brasil";2756
"421780 Taió";17026
"421790 Tangará";8651
"421795 Tigrinhos";1752
"421800 Tijucas";30701
"421810 Timbé do Sul";5281
"421820 Timbó";36642
"421825 Timbó Grande";7142
"421830 Três Barras";18081
"421835 Treviso";3518
"421840 Treze de Maio";6854
"421850 Treze Tílias";6316
"421860 Trombudo Central";6496
"421870 Tubarão";96795
"421875 Tunápolis";4615
"421880 Turvo";11809
"421885 União do Oeste";2909
"421890 Urubici";10668
"421895 Urupema";2472
"421900 Urussanga";20195
"421910 Vargeão";3522
"421915 Vargem";2805
"421917 Vargem Bonita";4774
"421920 Vidal Ramos";6198
"421930 Videira";46909
"421935 Vitor Meireles";5163
"421940 Witmarsum";3560
"421950 Xanxerê";43626
"421960 Xavantina";4134
"421970 Xaxim";25649
"421985 Zortéa";2975
"420000 Município ignorado - SC";-
"Total";6209818
 Fonte: IBGE - Censos Demográficos de 1991, 2000 e 2010
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
