 Taxa de analfabetismo - Santa Catarina
População alfabetizada por Município
Período:2010
"Município";"População_alfabetizada"
"420490 Descanso";6635
"420500 Dionísio Cerqueira";9826
"420510 Dona Emma";2697
"420515 Doutor Pedrinho";2661
"420517 Entre Rios";1835
"420519 Ermo";1480
"420520 Erval Velho";3188
"420530 Faxinal dos Guedes";7575
"420535 Flor do Sertão";1122
"420540 Florianópolis";336464
"420543 Formosa do Sul";1929
"420545 Forquilhinha";16570
"420550 Fraiburgo";24010
"420555 Frei Rogério";1697
"420560 Galvão";2237
"420570 Garopaba";13126
"420580 Garuva";10004
"420590 Gaspar";44207
"420600 Governador Celso Ramos";9650
"420610 Grão Pará";4704
"420620 Gravatal";8030
"420630 Guabiruba";14192
"420640 Guaraciaba";8015
"420650 Guaramirim";26132
"420660 Guarujá do Sul";3712
"420665 Guatambú";3175
"420670 Herval d'Oeste";15823
"420675 Ibiam";1462
"420680 Ibicaré";2545
"420690 Ibirama";12783
"420700 Içara";43897
"420710 Ilhota";8865
"420720 Imaruí";8043
"420730 Imbituba";29932
"420740 Imbuia";4005
"420750 Indaial";41290
"420757 Iomerê";2170
"420760 Ipira";3650
"420765 Iporã do Oeste";6391
"420768 Ipuaçu";4065
"420770 Ipumirim";5503
"420775 Iraceminha";3091
"420780 Irani";6746
"420785 Irati";1451
"420790 Irineópolis";7137
"420800 Itá";4714
"420810 Itaiópolis";14239
"420820 Itajaí";137600
"420830 Itapema";34426
"420840 Itapiranga";11719
"420845 Itapoá";10885
"420850 Ituporanga";16216
"420860 Jaborá";3040
"420870 Jacinto Machado";7735
"420880 Jaguaruna";12758
"420890 Jaraguá do Sul";111000
"420895 Jardinópolis";1275
"420900 Joaçaba";21003
"420910 Joinville";393047
"420915 José Boiteux";3217
"420917 Jupiá";1492
"420920 Lacerdópolis";1683
"420930 Lages";113958
"420940 Laguna";38293
"420945 Lajeado Grande";1125
"420950 Laurentino";4567
"420960 Lauro Muller";10590
"420970 Lebon Régis";7340
"420980 Leoberto Leal";2318
"420985 Lindóia do Sul";3525
"420990 Lontras";7399
"421000 Luiz Alves";7537
"421003 Luzerna";4553
"421005 Macieira";1244
"421010 Mafra";39167
"421020 Major Gercino";2395
"421030 Major Vieira";5231
"421040 Maracajá";4579
"421050 Maravilha";16491
"421055 Marema";1625
"421060 Massaranduba";11345
"421070 Matos Costa";1791
"421080 Meleiro";5296
"421085 Mirim Doce";1777
"421090 Modelo";2984
"421100 Mondaí";7908
"421105 Monte Carlo";5689
"421110 Monte Castelo";5625
"421120 Morro da Fumaça";11733
"421125 Morro Grande";2176
"421130 Navegantes";43491
"421140 Nova Erechim";3182
"421145 Nova Itaberaba";3009
"421150 Nova Trento";9451
"421160 Nova Veneza";10016
"421165 Novo Horizonte";1844
"421170 Orleans";16169
"421175 Otacílio Costa";11373
"421180 Ouro";5660
"421185 Ouro Verde";1539
