Munic;Obitos;Desemp;Renda;BaxRen;IDH;DensDem;Alfab;PopUrb;Frota;Pop
Palhoça;14;0,04;848,75;0,10;0,82;408,59;0,63;0,61;104194;161395
Palma Sola;0;0,03;622,08;0,30;0,76;22,92;0,68;0,42;4299;7604
Palmeira;3;0,06;465,44;0,38;0,76;8,77;0,62;0,30;1496;2562
Palmitos;4;0,02;882,61;0,15;0,80;46,36;0,74;0,49;11839;16257
Papanduva;2;0,03;584,97;0,31;0,74;24,88;0,66;0,42;11034;18905
Paraíso;1;0,02;740,85;0,24;0,77;20,65;0,77;0,35;2411;3688
Passo de Torres;1;0,08;599,72;0,25;0,79;85,53;0,57;0,43;6383;8142
Passos Maia;0;0,01;450,54;0,37;0,73;6,96;0,67;0,17;2282;4279
Paulo Lopes;0;0,05;637,66;0,19;0,76;16,17;0,63;0,49;5137;7282
Pedras Grandes;0;0,01;676,45;0,13;0,80;23,56;0,79;0,21;3694;4047
Penha;4;0,04;784,08;0,14;0,79;488,10;0,61;0,53;16508;30262
Peritiba;1;0,01;916,50;0,15;0,81;29,88;0,84;0,46;2162;2880
Petrolândia;1;0,01;773,15;0,19;0,78;19,76;0,74;0,30;4357;6051
Piçarras;5;0,05;811,46;0,17;0,80;213,81;0,58;0,41;12630;21253
Pinhalzinho;3;0,03;891,13;0,10;0,83;148,91;0,64;0,49;13595;19105
Pinheiro Preto;1;0,02;917,08;0,08;0,82;52,33;0,68;0,33;2429;3438
Piratuba;1;0,02;771,30;0,15;0,81;28,89;0,86;0,64;3698;4209
Planalto Alegre;0;0,01;754,10;0,15;0,82;45,10;0,66;0,26;1795;2823
Pomerode;9;0,02;998,08;0,05;0,85;147,11;0,69;0,59;25186;31760
Ponte Alta;4;0,07;497,62;0,37;0,73;8,46;0,67;0,79;2241;4796
Ponte Alta do Norte;0;0,06;480,78;0,39;0,75;8,49;0,62;0,69;1536;3405
Ponte Serrada;7;0,04;581,73;0,26;0,77;20,39;0,64;0,63;6381;11499
Porto Belo;3;0,04;841,40;0,12;0,80;206,10;0,60;0,51;12008;19744
Porto União;9;0,07;854,87;0,21;0,81;41,17;0,70;0,76;21204;35045
Pouso Redondo;8;0,02;711,83;0,18;0,79;46,43;0,63;0,38;10853;16692
Praia Grande;0;0,03;581,43;0,26;0,76;26,44;0,70;0,53;6488;7367
Presidente Castello Branco;0;0,01;1255,54;0,09;0,83;24,92;0,82;0,28;1256;1630
Presidente Getúlio;0;0,01;924,07;0,07;0,81;56,60;0,67;0,47;12024;16736
Presidente Nereu;0;0,02;922,65;0,16;0,77;10,26;0,69;0,34;1496;2306
Princesa;0;0,03;625,42;0,22;0,75;33,54;0,67;0,20;1742;2891
Quilombo;2;0,02;662,03;0,17;0,80;36,15;0,73;0,47;7091;10096
Rancho Queimado;2;0,01;810,19;0,09;0,77;9,99;0,71;0,39;2394;2860
Rio das Antas;1;0,02;736,41;0,17;0,80;19,69;0,72;0,36;3390;6246
Rio do Campo;1;0,01;791,53;0,21;0,80;12,01;0,74;0,38;4406;6078
Rio do Oeste;0;0,01;932,84;0,14;0,80;30,24;0,71;0,35;5101;7428
Rio do Sul;39;0,02;1095,41;0,09;0,83;264,00;0,68;0,71;50597;68217
Rio dos Cedros;0;0,01;793,66;0,06;0,82;20,33;0,71;0,33;8044;11295
Rio Fortuna;1;0,01;1570,54;0,04;0,82;15,22;0,78;0,26;4379;4594
Rio Negrinho;6;0,06;659,96;0,21;0,79;46,03;0,68;0,78;28979;41817
Rio Rufino;1;0,02;453,06;0,36;0,74;8,80;0,67;0,22;1373;2487
Riqueza;0;0,01;623,43;0,25;0,80;24,72;0,73;0,27;3031;4705
Rodeio;4;0,01;948,56;0,07;0,81;89,26;0,76;0,78;8745;11434
